Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.1859396,0.0,0.4488349193946467,82.91588785046729,0.037016384,-0.0007485324,0.4507767119497623,0.004191004254298948,0.015106055,0.102426454,0.00029982577,0.017234996,2.1904664
20000,2.0615962,1.0,1.2263183575938457,41.085,0.25481918,-0.006204735,1.213195005506277,0.0023737309403350083,0.07305047,0.0957657,0.00029954468,0.0046882345,2.1094003
30000,1.9818745,2.0,1.711826143708701,121.08695652173913,0.3372931,-0.024144564,1.728338086605072,0.004021035864051166,0.07202376,0.10212895,0.0002992567,0.0024141795,1.9632574
40000,1.9018,2.0,2.256393248794409,139.07692307692307,0.72177404,-0.017581332,2.238978381667818,0.0020696245090032067,0.095489085,0.09812595,0.0002989496,0.0013028556,1.9439671
50000,1.8082376,4.0,3.21608543375507,74.224,1.2629378,-0.011754824,3.2119678097867195,0.0012934025905832964,0.159692,0.09744805,0.0002986318,0.0017648367,1.8135374
60000,1.7953165,5.0,3.3619000983321006,93.73333333333333,1.6773127,-0.010040857,3.3684239581875177,0.0013800581405516625,0.093507014,0.10357116,0.00029834462,0.0014999339,1.888532
70000,1.6698648,5.0,1.6315373682813135,138.86567164179104,1.2917131,-0.0068252613,1.6171110728473375,0.003017788571235018,0.051807515,0.097526774,0.00029804255,0.0018702305,1.6692041
80000,1.6737157,6.0,3.714361450727468,117.51807228915662,1.2144799,-0.01347142,3.7009007199889137,0.002234146745000284,0.109507166,0.09072371,0.00029775334,0.0017713725,1.6889349
90000,1.5758549,7.0,4.603652425566094,96.88297872340425,1.6880255,-0.00861199,4.603652347275552,0.0015556260652974355,0.13274343,0.09861253,0.0002974694,0.0014431456,1.6108878
100000,1.480163,8.0,2.8983693633329226,95.82882882882883,2.2498853,-0.0055514574,2.9088938843120227,0.0018289308450634549,0.10256126,0.0950595,0.00029715634,0.0018681021,1.4829879
110000,1.4672389,9.0,2.268112417332304,77.2890625,2.1034062,-0.0052327123,2.2778501238208264,0.001165410636623676,0.06479957,0.10079871,0.00029684478,0.0014504308,1.4779867
120000,1.3919729,10.0,0.7671097288839519,98.97826086956522,1.7045687,-0.005899304,0.7653042385759561,0.0017699465304303885,0.03356027,0.101080075,0.0002965327,0.0016529917,1.3913099
130000,1.4218904,11.0,0.5754468443337828,99.65957446808511,1.0745312,-0.0067846626,0.5751347313535974,0.001237530485236385,0.0062642153,0.10508732,0.00029625127,0.0011274209,1.4394325
140000,1.3256983,12.0,0.5045855079646199,119.33333333333333,0.69484335,-0.0071391375,0.5070811594143892,0.001749057844930436,0.003113246,0.09599089,0.00029597167,0.0013595067,1.3870755
150000,1.3325428,12.0,0.4955833743209951,124.8125,0.52138406,-0.0052328976,0.4955761050000603,0.001785640860171155,0.0026316547,0.099404655,0.00029565458,0.0013860259,1.338564
160000,1.3201907,12.0,0.49215044879649833,122.5609756097561,0.46497574,-0.0032662854,0.49069956055393926,0.0017091786526348355,0.0030590738,0.09884223,0.0002953434,0.0012698381,1.3306506
170000,1.247007,12.0,0.5069342000225996,122.03703703703704,0.42062622,0.00045090474,0.5081869629098148,0.001911596703527122,0.0032793302,0.096509695,0.00029503083,0.0014370317,1.2668413
