Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.1752822,0.0,-0.10771834771229147,150.44827586206895,0.512813,0.004048909,-0.10771843688241367,0.16199512712272077,0.009039319,0.10321169,0.00029983674,0.21983954,1.5332547
20000,2.0694804,0.0,0.44546621092561417,74.08695652173913,0.24996102,0.07340058,0.4454661685487498,0.0653719174662146,0.016831774,0.09949114,0.00029954044,0.08591491,1.0028665
30000,1.9488561,0.0,0.6774142565888361,45.66019417475728,0.45975345,0.10249773,0.6760146268984166,0.058505986703605184,0.022401148,0.09717887,0.00029922582,0.12241781,0.52265394
40000,1.902428,0.0,0.7065671604541593,46.274881516587676,0.4558694,0.11642204,0.7066366463475883,0.053620137600890266,0.025104865,0.09833674,0.0002989479,0.1039426,0.46802315
50000,1.8580414,0.0,0.7417445553172777,39.98770491803279,0.5454496,0.10761354,0.7425931941489784,0.03692519077080853,0.021268714,0.09361461,0.000298668,0.08535633,0.3926913
60000,1.8491049,2.0,0.6962407610392094,49.87777777777778,0.6108556,0.0989115,0.7057094903631583,0.047689972009624264,0.012343964,0.10223909,0.00029834892,0.08089803,0.3148276
70000,1.734007,2.0,0.4332473463809458,105.51612903225806,0.2580443,0.082442686,0.43323295507379755,0.07832944086222078,0.018651614,0.09549914,0.00029803265,0.06879004,0.2509067
80000,1.6560667,2.0,0.5822732546194991,82.84426229508196,0.30260828,0.07721177,0.5682704754051615,0.0678217004847209,0.022983657,0.09946773,0.00029775148,0.07994402,0.21999486
90000,1.5966703,2.0,0.6114701778808637,75.52985074626865,0.39931077,0.07136078,0.6124950169182536,0.05505490827429762,0.01926215,0.1004657,0.00029747313,0.069555536,0.19439134
100000,1.5930479,2.0,0.6312850145303168,75.86259541984732,0.44258812,0.07173129,0.6299211132617397,0.05460940681056667,0.017644532,0.095621906,0.00029716323,0.07140057,0.20214589
110000,1.6322811,2.0,0.7754265465022575,52.446236559139784,0.4996441,0.07034672,0.7756559195057038,0.04173756279902513,0.018108936,0.09328771,0.00029685238,0.07331377,0.21967468
120000,1.5786563,2.0,0.7306150765443641,61.535483870967745,0.53003687,0.07860191,0.7349247286396642,0.04875359716674974,0.015949234,0.09713112,0.00029654126,0.07002846,0.18721005
130000,1.5812118,2.0,0.7556099120059286,55.97802197802198,0.56099796,0.074012846,0.7526814023763435,0.037602224782140134,0.015986076,0.104019746,0.00029622897,0.062392272,0.17740875
