Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.1851287,0.0,0.48322225041343486,78.51351351351352,0.06797121,0.0129429065,0.4790545330806212,0.031003630559214138,0.024521567,0.10402893,0.00029983753,0.044082828,1.4217942
20000,1.9813179,1.0,1.211657725802813,41.39247311827957,0.30077404,0.07207247,1.2462500064917232,0.04724379953973846,0.10939779,0.10321251,0.00029954812,0.16608247,1.0328104
30000,1.7760484,2.0,1.7252525817673428,112.54545454545455,0.13700323,0.2718252,1.6067632868670034,0.36889629692271136,0.15682414,0.10046853,0.0002992532,0.24002339,0.8914549
40000,1.76965,2.0,0.691228143895339,193.6315789473684,0.28986496,0.26282308,0.634833289044244,0.4318379918445966,0.08757565,0.09939442,0.0002989509,0.19558139,0.9869154
50000,1.6393696,3.0,2.7358195375078744,85.10416666666667,0.7172667,0.28261283,2.78633337871482,0.17403785280475859,0.2921072,0.10415419,0.00029865984,0.22898582,0.61261505
60000,1.4584426,4.0,1.7035209226924053,150.296875,0.760079,0.3772619,1.7035208400338888,0.42149508084003173,0.16730085,0.09884151,0.00029836097,0.23406062,0.29028684
70000,1.5581484,5.0,2.0224096152133177,142.44285714285715,0.7666036,0.3140292,1.9674619031803948,0.2463562297036073,0.16968618,0.09951954,0.0002980269,0.14781171,0.24664585
80000,1.7312429,5.0,1.7956481905550592,132.625,0.90419114,0.19255535,1.8100410650854242,0.10081020828770244,0.098941475,0.093771026,0.00029774167,0.07966197,0.26801646
90000,1.550156,6.0,3.9265977716979408,95.15217391304348,1.0535657,0.16930044,3.9265977247901587,0.15298155198916388,0.31251663,0.09549904,0.00029746117,0.11953624,0.24786691
100000,1.4563652,7.0,4.314736829984835,103.42105263157895,1.3987646,0.21166821,4.311497706572215,0.13227839170955122,0.27639621,0.09453392,0.0002971448,0.12798807,0.18584731
