Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
10000,2.1933868,0.0,0.25803216238483695,108.92771084337349,0.046248276,0.25221542032753547,0.020939413,0.07363069,0.0002998259
20000,2.080671,0.0,0.5753333571429816,60.668711656441715,0.093196414,0.5738691177470553,0.03158755,0.07149105,0.0002995412
30000,1.8128946,1.0,1.4052734082018647,62.81294964028777,0.17967848,1.4194724088092503,0.12082977,0.07442037,0.0002992476
40000,1.7268279,2.0,1.288676685577175,138.7462686567164,0.15727356,1.2550195999005263,0.14152366,0.08089525,0.00029897387
50000,1.6703058,3.0,2.3186054494199824,96.77011494252874,0.18589264,2.3186053969394202,0.14686431,0.067382365,0.0002986638
60000,1.6210845,3.0,1.21035563145997,145.66666666666666,0.19102016,1.2477739958439844,0.18813042,0.06705177,0.0002983457
70000,1.6903976,4.0,0.8165186017329149,164.44444444444446,0.1441502,0.7835393791848962,0.08556558,0.06819952,0.00029802413
80000,1.7000219,5.0,0.6912615223623374,173.4313725490196,0.09425432,0.691261406622681,0.08988558,0.07853963,0.00029773067
90000,1.6543039,5.0,-0.999958264423185,248.0,-0.0057716197,-0.9999584220349789,0.011353188,0.07267366,0.00029742904
100000,1.6506635,5.0,-0.9053088738242301,242.65853658536585,-0.019136861,-0.9053090258342463,0.0068266653,0.067133166,0.00029715648
110000,1.6516991,5.0,-0.9178226288021641,243.4468085106383,-0.020704046,-0.9122197831218893,0.0051115025,0.0675912,0.00029687415
120000,1.7473673,5.0,-0.9055690398757777,242.7560975609756,-0.031681657,-0.9120076617056673,0.0044074496,0.07050498,0.00029656143
130000,1.7587224,5.0,-0.8414012929092028,239.0204081632653,-0.034280308,-0.834652563358875,0.0074240183,0.06713234,0.00029624204
140000,1.7237961,5.0,-0.6143508112964857,230.6315789473684,-0.01730244,-0.6336334079504014,0.010031578,0.067555316,0.0002959504
150000,1.587039,5.0,0.12643339244648813,191.58,0.01469054,0.12643328964710235,0.03366645,0.064619035,0.00029566698
