Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
10000,1.8794562,0.0,2.8104985,3.273872,8.38533,0.10101907,0.00029983462,75.147156,1.6268544,-0.8931573399070961,242.19444444444446,-0.8931574953926934,29.79792732000351
20000,1.8493781,0.0,2.4501011,3.525581,3.8782392,0.0982685,0.0002995383,3.1881766,1.4651018,-0.9995771669044454,248.0,-0.9995773216573204,13.9022105350727
20000,1.8493781,0.0,2.4501011,3.525581,3.8782392,0.0982685,0.0002995383,3.1881766,1.4651018,-0.9995771669044454,248.0,-0.9995773216573204,13.9022105350727
20000,1.8493781,0.0,2.4501011,3.525581,3.8782392,0.0982685,0.0002995383,3.1881766,1.4651018,-0.9995771669044454,248.0,-0.9995773216573204,13.9022105350727
30000,1.8566545,0.0,1.5585864,2.6729658,0.9103831,0.10428351,0.00029924346,1.3367715,1.3804026,-0.8249999368139966,227.13636363636363,-0.8250000788406893,3.8862256431444124
30000,1.8566545,0.0,1.5585864,2.6729658,0.9103831,0.10428351,0.00029924346,1.3367715,1.3804026,-0.8249999368139966,227.13636363636363,-0.8250000788406893,3.8862256431444124
30000,1.8566545,0.0,1.5585864,2.6729658,0.9103831,0.10428351,0.00029924346,1.3367715,1.3804026,-0.8249999368139966,227.13636363636363,-0.8250000788406893,3.8862256431444124
40000,1.7766937,0.0,1.0739505,3.407212,0.5009058,0.10832399,0.00029895268,1.0942304,1.2521616,-0.7352272120240907,216.1818181818182,-0.735227345065637,3.361538225784898
40000,1.7766937,0.0,1.0739505,3.407212,0.5009058,0.10832399,0.00029895268,1.0942304,1.2521616,-0.7352272120240907,216.1818181818182,-0.735227345065637,3.361538225784898
40000,1.7766937,0.0,1.0739505,3.407212,0.5009058,0.10832399,0.00029895268,1.0942304,1.2521616,-0.7352272120240907,216.1818181818182,-0.735227345065637,3.361538225784898
50000,1.5870583,0.0,0.5555663,3.4882789,0.38464788,0.09483029,0.00029863237,1.0751524,1.0751626,-0.5022766748179665,190.0566037735849,-0.502276785531134,2.748855502256807
50000,1.5870583,0.0,0.5555663,3.4882789,0.38464788,0.09483029,0.00029863237,1.0751524,1.0751626,-0.5022766748179665,190.0566037735849,-0.502276785531134,2.748855502256807
